(uses, uses)
(;, ;)
(var, var)
(indentifier, v)
(:, :)
(indentifier, integer)
(;, ;)
(indentifier, s)
(:, :)
(indentifier, char)
(;, ;)
(indentifier, begin)
(indentifier, v)
(:=, :=)
(inter, 1)
(;, ;)
(indentifier, show)
((, ()
(inter, 1)
(), ))
(;, ;)
(while, while)
(indentifier, ord)
((, ()
(indentifier, s)
(), ))
(<>, <>)
(>, >)
(,, ,)
(inter, 13)
(indentifier, do)
(indentifier, begin)
(indentifier, s)
(:=, :=)
(indentifier, readkey)
(;, ;)
(if, if)
(indentifier, ord)
((, ()
(indentifier, s)
(), ))
(=, =)
(inter, 80)
(then, then)
(indentifier, begin)
(if, if)
(indentifier, v)
(=, =)
(inter, 3)
(then, then)
(indentifier, v)
(:=, :=)
(inter, 1)
(else, else)
(indentifier, v)
(:=, :=)
(indentifier, v)
(+, +)
(inter, 1)
(;, ;)
(indentifier, show)
((, ()
(indentifier, v)
(), ))
(;, ;)
(end, end)
(else, else)
(if, if)
(indentifier, ord)
((, ()
(indentifier, s)
(), ))
(=, =)
(inter, 72)
(then, then)
(indentifier, begin)
(if, if)
(indentifier, v)
(=, =)
(inter, 1)
(then, then)
(indentifier, v)
(:=, :=)
(inter, 3)
(else, else)
(indentifier, v)
(:=, :=)
(indentifier, v)
(-, -)
(inter, 1)
(;, ;)
(indentifier, show)
((, ()
(indentifier, v)
(), ))
(end, end)
(else, else)
(indentifier, begin)
(indentifier, show)
((, ()
(indentifier, v)
(), ))
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(indentifier, dif)
(:=, :=)
(indentifier, v)
(;, ;)
(end, end)
(;, ;)
(procedure, procedure)
(indentifier, winner)
(;, ;)
(indentifier, begin)
(if, if)
(indentifier, next)
(=, =)
(inter, 0)
(then, then)
(indentifier, win)
(:=, :=)
(indentifier, true)
(else, else)
(indentifier, win)
(:=, :=)
(indentifier, false)
(;, ;)
(end, end)
(;, ;)
(procedure, procedure)
(indentifier, count)
((, ()
(indentifier, ii)
(,, ,)
(indentifier, jj)
(:, :)
(indentifier, integer)
(), ))
(;, ;)
(var, var)
(indentifier, k)
(,, ,)
(indentifier, m)
(,, ,)
(indentifier, n)
(:, :)
(indentifier, integer)
(;, ;)
(indentifier, begin)
(if, if)
((, ()
(indentifier, ii)
(=, =)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, jj)
(=, =)
(inter, 1)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(to, to)
(indentifier, ii)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(to, to)
(indentifier, jj)
(+, +)
(inter, 1)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 100)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 103)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 110)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 113)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(=, =)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, jj)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, jj)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(to, to)
(indentifier, ii)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(-, -)
(inter, 1)
(to, to)
(indentifier, jj)
(+, +)
(inter, 1)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(=, =)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, jj)
(=, =)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(to, to)
(indentifier, ii)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(-, -)
(inter, 1)
(to, to)
(indentifier, jj)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, ii)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, jj)
(=, =)
(inter, 1)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(-, -)
(inter, 1)
(to, to)
(indentifier, ii)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(to, to)
(indentifier, jj)
(+, +)
(inter, 1)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, ii)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, jj)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, jj)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(-, -)
(inter, 1)
(to, to)
(indentifier, ii)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(-, -)
(inter, 1)
(to, to)
(indentifier, jj)
(+, +)
(inter, 1)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, ii)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, jj)
(=, =)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(-, -)
(inter, 1)
(to, to)
(indentifier, ii)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(-, -)
(inter, 1)
(to, to)
(indentifier, jj)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(=, =)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, jj)
(=, =)
(inter, 1)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(-, -)
(inter, 1)
(to, to)
(indentifier, ii)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(to, to)
(indentifier, jj)
(+, +)
(inter, 1)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(=, =)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, jj)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, jj)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(-, -)
(inter, 1)
(to, to)
(indentifier, ii)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(-, -)
(inter, 1)
(to, to)
(indentifier, jj)
(+, +)
(inter, 1)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, ii)
(=, =)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, jj)
(=, =)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(indentifier, k)
(:=, :=)
(inter, 0)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, ii)
(-, -)
(inter, 1)
(to, to)
(indentifier, ii)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, jj)
(-, -)
(inter, 1)
(to, to)
(indentifier, jj)
(indentifier, do)
(if, if)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 0)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 3)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 10)
(), ))
(+1, +)
(indentifier, ord)
((, ()
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(=, =)
(inter, 13)
(), ))
(<=, <=)
(,, ,)
(inter, 1)
(then, then)
(indentifier, k)
(:=, :=)
(indentifier, k)
(+, +)
(inter, 1)
(;, ;)
(indentifier, num)
([, [)
(indentifier, ii)
(,, ,)
(indentifier, jj)
(], ])
(:=, :=)
(indentifier, k)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(procedure, procedure)
(indentifier, make)
(;, ;)
(var, var)
(indentifier, m)
(,, ,)
(indentifier, n)
(,, ,)
(indentifier, zz)
(:, :)
(indentifier, integer)
(;, ;)
(indentifier, begin)
(indentifier, randomize)
(;, ;)
(for, for)
(indentifier, m)
(:=, :=)
(inter, 1)
(to, to)
(inter, 20)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(inter, 1)
(to, to)
(inter, 20)
(indentifier, do)
(indentifier, begin)
(indentifier, zz)
(:=, :=)
(indentifier, random)
((, ()
(inter, 100)
(), ))
(;, ;)
(case, case)
(indentifier, dif)
(of, of)
(inter, 1)
(:, :)
(indentifier, begin)
(if, if)
(indentifier, zz)
(<, <)
(>, >)
(,, ,)
(inter, 8)
(then, then)
(indentifier, begin)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 0)
(;, ;)
(indentifier, next)
(:=, :=)
(indentifier, next)
(+, +)
(inter, 1)
(;, ;)
(end, end)
(else, else)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 1)
(;, ;)
(end, end)
(;, ;)
(inter, 2)
(:, :)
(indentifier, begin)
(if, if)
(indentifier, zz)
(<, <)
(>, >)
(,, ,)
(inter, 16)
(then, then)
(indentifier, begin)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 0)
(;, ;)
(indentifier, next)
(:=, :=)
(indentifier, next)
(+, +)
(inter, 1)
(;, ;)
(end, end)
(else, else)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 1)
(;, ;)
(end, end)
(;, ;)
(inter, 3)
(:, :)
(indentifier, begin)
(if, if)
(indentifier, zz)
(<, <)
(>, >)
(,, ,)
(inter, 21)
(then, then)
(indentifier, begin)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 0)
(;, ;)
(indentifier, next)
(:=, :=)
(indentifier, next)
(+, +)
(inter, 1)
(;, ;)
(end, end)
(else, else)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 1)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(procedure, procedure)
(indentifier, dig)
((, ()
(indentifier, mm)
(,, ,)
(indentifier, nn)
(:, :)
(indentifier, integer)
(), ))
(;, ;)
(var, var)
(indentifier, m1)
(,, ,)
(indentifier, m2)
(,, ,)
(indentifier, n1)
(,, ,)
(indentifier, n2)
(,, ,)
(indentifier, m3)
(,, ,)
(indentifier, n3)
(,, ,)
(indentifier, m)
(,, ,)
(indentifier, n)
(:, :)
(indentifier, integer)
(;, ;)
(indentifier, aa)
(:, :)
(array, array)
([, [)
(inter, 1)
(.., ..)
(inter, 20)
(,, ,)
(inter, 1)
(.., ..)
(inter, 20)
(], ])
(of, of)
(indentifier, boolean)
(;, ;)
(indentifier, begin)
(if, if)
(indentifier, num)
([, [)
(indentifier, mm)
(,, ,)
(indentifier, nn)
(], ])
(=, =)
(inter, 0)
(then, then)
(indentifier, begin)
(if, if)
((, ()
(indentifier, mm)
(=, =)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, nn)
(=, =)
(inter, 1)
(), ))
(then, then)
(indentifier, begin)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, mm)
(to, to)
(indentifier, mm)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, nn)
(to, to)
(indentifier, nn)
(+, +)
(inter, 1)
(indentifier, do)
(indentifier, begin)
(indentifier, count)
((, ()
(indentifier, m)
(,, ,)
(indentifier, n)
(), ))
(;, ;)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 2)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, mm)
(=, =)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, nn)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, nn)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, mm)
(to, to)
(indentifier, mm)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, nn)
(-, -)
(inter, 1)
(to, to)
(indentifier, nn)
(+, +)
(inter, 1)
(indentifier, do)
(indentifier, begin)
(indentifier, count)
((, ()
(indentifier, m)
(,, ,)
(indentifier, n)
(), ))
(;, ;)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 2)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, mm)
(=, =)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, nn)
(=, =)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, mm)
(to, to)
(indentifier, mm)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, nn)
(-, -)
(inter, 1)
(to, to)
(indentifier, nn)
(indentifier, do)
(indentifier, begin)
(indentifier, count)
((, ()
(indentifier, m)
(,, ,)
(indentifier, n)
(), ))
(;, ;)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 2)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, mm)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, mm)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, nn)
(=, =)
(inter, 1)
(), ))
(then, then)
(indentifier, begin)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, mm)
(-, -)
(inter, 1)
(to, to)
(indentifier, mm)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, nn)
(to, to)
(indentifier, nn)
(+, +)
(inter, 1)
(indentifier, do)
(indentifier, begin)
(indentifier, count)
((, ()
(indentifier, m)
(,, ,)
(indentifier, n)
(), ))
(;, ;)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 2)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, mm)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, mm)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(and, and)
((, ()
(indentifier, nn)
(>, >)
(,, ,)
(inter, 1)
(), ))
(and, and)
((, ()
(indentifier, nn)
(<, <)
(>, >)
(,, ,)
(inter, 20)
(), ))
(then, then)
(indentifier, begin)
(for, for)
(indentifier, m)
(:=, :=)
(indentifier, mm)
(-, -)
(inter, 1)
(to, to)
(indentifier, mm)
(+, +)
(inter, 1)
(indentifier, do)
(for, for)
(indentifier, n)
(:=, :=)
(indentifier, nn)
(-, -)
(inter, 1)
(to, to)
(indentifier, nn)
(+, +)
(inter, 1)
(indentifier, do)
(indentifier, begin)
(indentifier, count)
((, ()
(indentifier, m)
(,, ,)
(indentifier, n)
(), ))
(;, ;)
(indentifier, a)
([, [)
(indentifier, m)
(,, ,)
(indentifier, n)
(], ])
(:=, :=)
(inter, 2)
(;, ;)
(end, end)
(;, ;)
(end, end)
(;, ;)
(if, if)
((, ()
(indentifier, mm)
(>, >)
(,, ,)
(inter, 1)
(), ))
